,source,cluster,x,y
0,yahoo.com,2,6.0464,-4.7161
1,ap.org,1,-17.518,3.7857
2,dailymail.co.uk,1,-14.032,4.6342
3,chron.com,1,-15.222999999999999,7.4534
4,sfgate.com,1,-15.194,7.3965
5,dailyprogress.com,1,-15.49,2.4173
6,siouxcityjournal.com,1,-23.778000000000002,6.3402
7,mysanantonio.com,1,-15.194,7.4976
8,washingtonpost.com,1,-14.427999999999999,4.1919
9,reuters.com,2,9.3646,-5.5385
10,newsok.com,1,-18.726,-0.23822
11,tucson.com,1,-22.711,6.2542
12,lacrossetribune.com,1,-22.826,6.8571
13,business-standard.com,3,21.451999999999998,-2.3779
14,bgdailynews.com,1,-17.117,2.9517
15,wcfcourier.com,1,-23.383000000000003,6.8873
16,beatricedailysun.com,1,-23.349,7.6627
17,ctpost.com,1,-11.263,9.7344
18,gazette.com,1,-17.750999999999998,4.8385
19,fremonttribune.com,1,-22.787,7.3521
20,go.com,4,28.546999999999997,17.955
21,qctimes.com,1,-22.805999999999997,7.1081
22,rapidcityjournal.com,1,-23.006999999999998,8.0654
23,missoulian.com,1,-22.935,8.2226
24,muscatinejournal.com,1,-23.219,6.4548
25,mtstandard.com,1,-23.064,8.4426
26,mynews13.com,1,-19.657,0.9564799999999999
27,trib.com,1,-23.585,7.5928
28,seattlepi.com,1,-12.342,9.6862
29,thetandd.com,1,-22.496,7.8175
30,helenair.com,1,-22.713,7.6894
31,startribune.com,1,-14.687999999999999,4.1133
32,indianexpress.com,3,18.86,-1.4293
33,ksby.com,5,-25.031999999999996,-11.948
34,thehour.com,1,-10.962,9.9083
35,columbustelegram.com,1,-23.046,7.8649
36,wect.com,5,-24.349,-12.86
37,seattletimes.com,1,-14.213,3.4213
38,journalstar.com,1,-23.215999999999998,7.4065
39,baynews9.com,1,-19.975,1.0423
40,omaha.com,1,-20.886999999999997,5.6647
41,greenwichtime.com,1,-11.24,9.6516
42,foxnews.com,0,-24.002,0.0066426
43,hawaiinewsnow.com,5,-24.581,-12.625
44,kswo.com,5,-24.589000000000002,-12.130999999999998
45,poststar.com,1,-22.533,7.9469
46,scnow.com,1,-16.271,2.1319
47,stamfordadvocate.com,1,-11.015999999999998,9.7248
48,wbt.com,4,28.633000000000003,18.016
49,indiatimes.com,3,19.172,-4.1805
50,abc-7.com,5,-23.932,-15.537
51,channelnewsasia.com,2,10.63,-5.6791
52,bismarcktribune.com,1,-23.535999999999998,8.3343
53,sfchronicle.com,1,-13.514000000000001,8.6597
54,trust.org,2,9.6341,-5.6846
55,newstimes.com,1,-11.022,9.7557
56,lompocrecord.com,1,-21.843000000000004,7.8677
57,roanoke.com,1,-20.271,2.8639
58,maysville-online.com,1,-22.125,7.388999999999999
59,mynorthwest.com,1,-14.758,4.0873
60,wlox.com,5,-24.634,-13.165999999999999
61,thestar.com.my,2,10.097000000000001,-5.7704
62,koamtv.com,5,-25.199,-12.2
63,therepublic.com,1,-13.039000000000001,7.0059
64,wboc.com,5,-24.67,-11.852
65,wandtv.com,5,-24.831,-12.204
66,newscenter1.tv,5,-25.156999999999996,-11.927
67,tbo.com,1,-13.382,8.0297
68,nbc-2.com,5,-23.994,-15.595
69,9and10news.com,5,-24.073,-11.751
70,timesunion.com,1,-13.270999999999999,9.5477
71,wbrc.com,5,-22.578000000000003,-14.804
72,stripes.com,1,-17.49,4.5496
73,nytimes.com,1,-15.105,5.6324
74,dailyjournal.net,1,-13.181,7.01
75,santamariatimes.com,1,-22.112,7.4355
76,kdhnews.com,1,-19.500999999999998,3.3343
77,salon.com,1,-13.936,4.1167
78,beaumontenterprise.com,1,-12.819,9.0121
79,wgmd.com,0,-23.994,0.028818
80,news-sentinel.com,1,-19.941,1.0285
81,expressnews.com,1,-13.46,9.4943
82,fairfieldcitizenonline.com,1,-11.133,9.4349
83,kfbb.com,5,-23.570999999999998,-13.841
84,daytondailynews.com,6,-21.524,-4.2678
85,financialexpress.com,3,19.276,-1.9599
86,webindia123.com,3,22.557,-2.1059
87,findlaw.com,1,-14.788,-0.8545
88,krmg.com,6,-21.749000000000002,-4.6727
89,miamiherald.com,7,-34.039,8.4092
90,wacotrib.com,1,-20.317999999999998,3.1081
91,wral.com,1,-12.984000000000002,10.39
92,mrt.com,1,-13.466,9.7274
93,houstonchronicle.com,1,-16.345,9.9648
94,newsbug.info,1,-21.619,4.8299
95,stltoday.com,1,-20.379,9.5587
96,india.com,3,20.973000000000003,-3.7106
97,timesdaily.com,1,-18.187,1.8205
98,newkerala.com,3,22.666,-2.0519
99,tribtown.com,1,-13.036,6.9543
100,ctvnews.ca,8,-2.9224,-37.26
101,durangoherald.com,0,-6.0976,5.5017
102,timescolonist.com,8,-2.3369999999999997,-38.361
103,michigansthumb.com,1,-12.638,9.7231
104,kten.com,5,-24.594,-14.682
105,kvoa.com,5,-24.366,-11.960999999999999
106,dailyamerican.com,1,-19.56,3.543
107,magicvalley.com,1,-23.755,9.1174
108,bostonherald.com,1,-21.142,2.8519
109,newsadvance.com,1,-19.742,3.1938
110,thepublicopinion.com,1,-16.164,3.3157
